conflict_name,year,peace_date,end_date,resumed
Afghanistan: Government,1993,1992-04-24,1996-12-31,False
Afghanistan: Government,1994,1992-04-24,1996-12-31,False
Afghanistan: Government,1995,1992-04-24,1996-12-31,False
Afghanistan: Government,1996,1992-04-24,1996-12-31,False
Afghanistan: Government,1993,1992-04-24,1995-12-31,False
Afghanistan: Government,1994,1992-04-24,1995-12-31,False
Afghanistan: Government,1995,1992-04-24,1995-12-31,False
Afghanistan: Government,1993,1992-04-24,2003-12-31,False
Afghanistan: Government,1994,1992-04-24,2003-12-31,False
Afghanistan: Government,1995,1992-04-24,2003-12-31,False
Afghanistan: Government,1996,1992-04-24,2003-12-31,False
Afghanistan: Government,1997,1992-04-24,2003-12-31,False
Afghanistan: Government,1998,1992-04-24,2003-12-31,False
Afghanistan: Government,1999,1992-04-24,2003-12-31,False
Afghanistan: Government,2000,1992-04-24,2003-12-31,False
Afghanistan: Government,2001,1992-04-24,2003-12-31,False
Afghanistan: Government,2002,1992-04-24,2003-12-31,False
Afghanistan: Government,2003,1992-04-24,2003-12-31,False
Afghanistan: Government,1993,1992-04-24,2006-12-31,False
Afghanistan: Government,1994,1992-04-24,2006-12-31,False
Afghanistan: Government,1995,1992-04-24,2006-12-31,False
Afghanistan: Government,1996,1992-04-24,2006-12-31,False
Afghanistan: Government,1997,1992-04-24,2006-12-31,False
Afghanistan: Government,1998,1992-04-24,2006-12-31,False
Afghanistan: Government,1999,1992-04-24,2006-12-31,False
Afghanistan: Government,2000,1992-04-24,2006-12-31,False
Afghanistan: Government,2001,1992-04-24,2006-12-31,False
Afghanistan: Government,2002,1992-04-24,2006-12-31,False
Afghanistan: Government,2003,1992-04-24,2006-12-31,False
Afghanistan: Government,2004,1992-04-24,2006-12-31,False
Afghanistan: Government,2005,1992-04-24,2006-12-31,False
Afghanistan: Government,2006,1992-04-24,2006-12-31,False
Afghanistan: Government,1993,1992-04-24,2011-12-31,False
Afghanistan: Government,1994,1992-04-24,2011-12-31,False
Afghanistan: Government,1995,1992-04-24,2011-12-31,False
Afghanistan: Government,1996,1992-04-24,2011-12-31,False
Afghanistan: Government,1997,1992-04-24,2011-12-31,False
Afghanistan: Government,1998,1992-04-24,2011-12-31,False
Afghanistan: Government,1999,1992-04-24,2011-12-31,False
Afghanistan: Government,2000,1992-04-24,2011-12-31,False
Afghanistan: Government,2001,1992-04-24,2011-12-31,False
Afghanistan: Government,2002,1992-04-24,2011-12-31,False
Afghanistan: Government,2003,1992-04-24,2011-12-31,False
Afghanistan: Government,2004,1992-04-24,2011-12-31,False
Afghanistan: Government,2005,1992-04-24,2011-12-31,False
Afghanistan: Government,2006,1992-04-24,2011-12-31,False
Afghanistan: Government,2007,1992-04-24,2011-12-31,False
Afghanistan: Government,2008,1992-04-24,2011-12-31,False
Afghanistan: Government,2009,1992-04-24,2011-12-31,False
Afghanistan: Government,2010,1992-04-24,2011-12-31,False
Afghanistan: Government,2011,1992-04-24,2011-12-31,False
Afghanistan: Government,1993,1992-04-24,2013-12-31,False
Afghanistan: Government,1994,1992-04-24,2013-12-31,False
Afghanistan: Government,1995,1992-04-24,2013-12-31,False
Afghanistan: Government,1996,1992-04-24,2013-12-31,False
Afghanistan: Government,1997,1992-04-24,2013-12-31,False
Afghanistan: Government,1998,1992-04-24,2013-12-31,False
Afghanistan: Government,1999,1992-04-24,2013-12-31,False
Afghanistan: Government,2000,1992-04-24,2013-12-31,False
Afghanistan: Government,2001,1992-04-24,2013-12-31,False
Afghanistan: Government,2002,1992-04-24,2013-12-31,False
Afghanistan: Government,2003,1992-04-24,2013-12-31,False
Afghanistan: Government,2004,1992-04-24,2013-12-31,False
Afghanistan: Government,2005,1992-04-24,2013-12-31,False
Afghanistan: Government,2006,1992-04-24,2013-12-31,False
Afghanistan: Government,2007,1992-04-24,2013-12-31,False
Afghanistan: Government,2008,1992-04-24,2013-12-31,False
Afghanistan: Government,2009,1992-04-24,2013-12-31,False
Afghanistan: Government,2010,1992-04-24,2013-12-31,False
Afghanistan: Government,2011,1992-04-24,2013-12-31,False
Afghanistan: Government,2012,1992-04-24,2013-12-31,False
Afghanistan: Government,2013,1992-04-24,2013-12-31,False
Afghanistan: Government,1993,1992-04-24,1995-12-31,False
Afghanistan: Government,1994,1992-04-24,1995-12-31,False
Afghanistan: Government,1995,1992-04-24,1995-12-31,False
Afghanistan: Government,1994,1993-03-07,1996-12-31,False
Afghanistan: Government,1995,1993-03-07,1996-12-31,False
Afghanistan: Government,1996,1993-03-07,1996-12-31,False
Afghanistan: Government,1994,1993-03-07,1995-12-31,False
Afghanistan: Government,1995,1993-03-07,1995-12-31,False
Afghanistan: Government,1994,1993-03-07,2003-12-31,False
Afghanistan: Government,1995,1993-03-07,2003-12-31,False
Afghanistan: Government,1996,1993-03-07,2003-12-31,False
Afghanistan: Government,1997,1993-03-07,2003-12-31,False
Afghanistan: Government,1998,1993-03-07,2003-12-31,False
Afghanistan: Government,1999,1993-03-07,2003-12-31,False
Afghanistan: Government,2000,1993-03-07,2003-12-31,False
Afghanistan: Government,2001,1993-03-07,2003-12-31,False
Afghanistan: Government,2002,1993-03-07,2003-12-31,False
Afghanistan: Government,2003,1993-03-07,2003-12-31,False
Afghanistan: Government,1994,1993-03-07,2006-12-31,False
Afghanistan: Government,1995,1993-03-07,2006-12-31,False
Afghanistan: Government,1996,1993-03-07,2006-12-31,False
Afghanistan: Government,1997,1993-03-07,2006-12-31,False
Afghanistan: Government,1998,1993-03-07,2006-12-31,False
Afghanistan: Government,1999,1993-03-07,2006-12-31,False
Afghanistan: Government,2000,1993-03-07,2006-12-31,False
Afghanistan: Government,2001,1993-03-07,2006-12-31,False
Afghanistan: Government,2002,1993-03-07,2006-12-31,False
Afghanistan: Government,2003,1993-03-07,2006-12-31,False
Afghanistan: Government,2004,1993-03-07,2006-12-31,False
Afghanistan: Government,2005,1993-03-07,2006-12-31,False
Afghanistan: Government,2006,1993-03-07,2006-12-31,False
Afghanistan: Government,1994,1993-03-07,2011-12-31,False
Afghanistan: Government,1995,1993-03-07,2011-12-31,False
Afghanistan: Government,1996,1993-03-07,2011-12-31,False
Afghanistan: Government,1997,1993-03-07,2011-12-31,False
Afghanistan: Government,1998,1993-03-07,2011-12-31,False
Afghanistan: Government,1999,1993-03-07,2011-12-31,False
Afghanistan: Government,2000,1993-03-07,2011-12-31,False
Afghanistan: Government,2001,1993-03-07,2011-12-31,False
Afghanistan: Government,2002,1993-03-07,2011-12-31,False
Afghanistan: Government,2003,1993-03-07,2011-12-31,False
Afghanistan: Government,2004,1993-03-07,2011-12-31,False
Afghanistan: Government,2005,1993-03-07,2011-12-31,False
Afghanistan: Government,2006,1993-03-07,2011-12-31,False
Afghanistan: Government,2007,1993-03-07,2011-12-31,False
Afghanistan: Government,2008,1993-03-07,2011-12-31,False
Afghanistan: Government,2009,1993-03-07,2011-12-31,False
Afghanistan: Government,2010,1993-03-07,2011-12-31,False
Afghanistan: Government,2011,1993-03-07,2011-12-31,False
Afghanistan: Government,1994,1993-03-07,2013-12-31,False
Afghanistan: Government,1995,1993-03-07,2013-12-31,False
Afghanistan: Government,1996,1993-03-07,2013-12-31,False
Afghanistan: Government,1997,1993-03-07,2013-12-31,False
Afghanistan: Government,1998,1993-03-07,2013-12-31,False
Afghanistan: Government,1999,1993-03-07,2013-12-31,False
Afghanistan: Government,2000,1993-03-07,2013-12-31,False
Afghanistan: Government,2001,1993-03-07,2013-12-31,False
Afghanistan: Government,2002,1993-03-07,2013-12-31,False
Afghanistan: Government,2003,1993-03-07,2013-12-31,False
Afghanistan: Government,2004,1993-03-07,2013-12-31,False
Afghanistan: Government,2005,1993-03-07,2013-12-31,False
Afghanistan: Government,2006,1993-03-07,2013-12-31,False
Afghanistan: Government,2007,1993-03-07,2013-12-31,False
Afghanistan: Government,2008,1993-03-07,2013-12-31,False
Afghanistan: Government,2009,1993-03-07,2013-12-31,False
Afghanistan: Government,2010,1993-03-07,2013-12-31,False
Afghanistan: Government,2011,1993-03-07,2013-12-31,False
Afghanistan: Government,2012,1993-03-07,2013-12-31,False
Afghanistan: Government,2013,1993-03-07,2013-12-31,False
Afghanistan: Government,1994,1993-03-07,1995-12-31,False
Afghanistan: Government,1995,1993-03-07,1995-12-31,False
Afghanistan: Government,1994,1993-05-20,1996-12-31,False
Afghanistan: Government,1995,1993-05-20,1996-12-31,False
Afghanistan: Government,1996,1993-05-20,1996-12-31,False
Afghanistan: Government,1994,1993-05-20,1995-12-31,False
Afghanistan: Government,1995,1993-05-20,1995-12-31,False
Afghanistan: Government,1994,1993-05-20,2003-12-31,False
Afghanistan: Government,1995,1993-05-20,2003-12-31,False
Afghanistan: Government,1996,1993-05-20,2003-12-31,False
Afghanistan: Government,1997,1993-05-20,2003-12-31,False
Afghanistan: Government,1998,1993-05-20,2003-12-31,False
Afghanistan: Government,1999,1993-05-20,2003-12-31,False
Afghanistan: Government,2000,1993-05-20,2003-12-31,False
Afghanistan: Government,2001,1993-05-20,2003-12-31,False
Afghanistan: Government,2002,1993-05-20,2003-12-31,False
Afghanistan: Government,2003,1993-05-20,2003-12-31,False
Afghanistan: Government,1994,1993-05-20,2006-12-31,False
Afghanistan: Government,1995,1993-05-20,2006-12-31,False
Afghanistan: Government,1996,1993-05-20,2006-12-31,False
Afghanistan: Government,1997,1993-05-20,2006-12-31,False
Afghanistan: Government,1998,1993-05-20,2006-12-31,False
Afghanistan: Government,1999,1993-05-20,2006-12-31,False
Afghanistan: Government,2000,1993-05-20,2006-12-31,False
Afghanistan: Government,2001,1993-05-20,2006-12-31,False
Afghanistan: Government,2002,1993-05-20,2006-12-31,False
Afghanistan: Government,2003,1993-05-20,2006-12-31,False
Afghanistan: Government,2004,1993-05-20,2006-12-31,False
Afghanistan: Government,2005,1993-05-20,2006-12-31,False
Afghanistan: Government,2006,1993-05-20,2006-12-31,False
Afghanistan: Government,1994,1993-05-20,2011-12-31,False
Afghanistan: Government,1995,1993-05-20,2011-12-31,False
Afghanistan: Government,1996,1993-05-20,2011-12-31,False
Afghanistan: Government,1997,1993-05-20,2011-12-31,False
Afghanistan: Government,1998,1993-05-20,2011-12-31,False
Afghanistan: Government,1999,1993-05-20,2011-12-31,False
Afghanistan: Government,2000,1993-05-20,2011-12-31,False
Afghanistan: Government,2001,1993-05-20,2011-12-31,False
Afghanistan: Government,2002,1993-05-20,2011-12-31,False
Afghanistan: Government,2003,1993-05-20,2011-12-31,False
Afghanistan: Government,2004,1993-05-20,2011-12-31,False
Afghanistan: Government,2005,1993-05-20,2011-12-31,False
Afghanistan: Government,2006,1993-05-20,2011-12-31,False
Afghanistan: Government,2007,1993-05-20,2011-12-31,False
Afghanistan: Government,2008,1993-05-20,2011-12-31,False
Afghanistan: Government,2009,1993-05-20,2011-12-31,False
Afghanistan: Government,2010,1993-05-20,2011-12-31,False
Afghanistan: Government,2011,1993-05-20,2011-12-31,False
Afghanistan: Government,1994,1993-05-20,2013-12-31,False
Afghanistan: Government,1995,1993-05-20,2013-12-31,False
Afghanistan: Government,1996,1993-05-20,2013-12-31,False
Afghanistan: Government,1997,1993-05-20,2013-12-31,False
Afghanistan: Government,1998,1993-05-20,2013-12-31,False
Afghanistan: Government,1999,1993-05-20,2013-12-31,False
Afghanistan: Government,2000,1993-05-20,2013-12-31,False
Afghanistan: Government,2001,1993-05-20,2013-12-31,False
Afghanistan: Government,2002,1993-05-20,2013-12-31,False
Afghanistan: Government,2003,1993-05-20,2013-12-31,False
Afghanistan: Government,2004,1993-05-20,2013-12-31,False
