paid,conflict_id,dyad_name,conflict_name,peace_date
1565,333,"Government of Afghanistan - Mahaz-i Milli-yi Islami-yi Afghanistan , Government of Afghanistan - Hizb-i Islami-yi Afghanistan, Government of Afghanistan - Hizb-i Islami-yi Afghanistan - Khalis faction, Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan , Government of Afghanistan - Ittihad-i Islami Bara-yi Azadi-yi Afghanistan , Government of Afghanistan - Hizb-i Wahdat",Afghanistan: Government,1992-04-24
1128,333,"Government of Afghanistan - Hizb-i Islami-yi Afghanistan, Government of Afghanistan - Hizb-i Wahdat",Afghanistan: Government,1993-03-07
1132,333,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan: Government,1993-05-20
1131,333,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan: Government,1996-05-24
1488,333,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan: Government,2016-09-22
1353,387,Government of Angola - FLEC-R,Angola: Cabinda,2006-08-01
1021,327,Government of Angola - UNITA,Angola: Government,1989-06-22
1022,327,Government of Angola - UNITA,Angola: Government,1991-05-31
1023,327,Government of Angola - UNITA,Angola: Government,1994-11-20
1126,327,Government of Angola - UNITA,Angola: Government,2002-04-04
1057,322,Government of Bangladesh - JSS/SB,Bangladesh: Chittagong Hill Tracts,1997-12-02
1564,398,Government of Bosnia-Herzegovina - Croatian Republic of Bosnia-Herzegovina,Bosnia-Herzegovina: Croat,1993-05-18
1072,398,Government of Bosnia-Herzegovina - Croatian Republic of Bosnia-Herzegovina,Bosnia-Herzegovina: Croat,1994-03-01
1566,398,Government of Bosnia-Herzegovina - Croatian Republic of Bosnia-Herzegovina,Bosnia-Herzegovina: Croat,1994-03-18
1567,389,Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina,Bosnia-Herzegovina: Serb,1994-12-20
1568,389,Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina,Bosnia-Herzegovina: Serb,1995-09-08
