dyadep_id,dyadepisode,type_of_conflict2,dyadcount,dyadterm,ependdate,ependprec,outcome,cfiredate,peagdate,recur,version,conflict_id,dyad_id,year,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,intensity_level,type_of_conflict,start_date,start_prec,start_date2,start_prec2,gwno_loc,region
39901,1,3,1,1,7/21/46,1,4,,,0,3,200,399,1946,Bolivia,Government of Bolivia,23,,Popular Revolutionary Movement,719,,2,,2,3,7/18/46,1,7/21/46,2,145,5
40001,1,3,1,1,4/12/52,1,4,,,0,3,200,400,1952,Bolivia,Government of Bolivia,23,,MNR,720,,2,,1,3,4/9/52,1,4/9/52,1,145,5
40101,1,3,1,1,10/16/67,1,3,,,0,3,200,401,1967,Bolivia,Government of Bolivia,23,,ELN,721,,2,,1,3,3/31/67,3,3/31/67,3,145,5
40201,1,1,1,0,,,,,,0,3,201,402,1946,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,8/31/46,3,8/31/46,3,811,3
40201,1,1,1,0,,,,,,0,3,201,402,1947,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,8/31/46,3,8/31/46,3,811,3
40201,1,1,1,0,,,,,,0,3,201,402,1948,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,8/31/46,3,8/31/46,3,811,3
40201,1,1,1,0,,,,,,0,3,201,402,1949,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,8/31/46,3,8/31/46,3,811,3
40201,1,1,1,0,,,,,,0,3,201,402,1950,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,8/31/46,3,8/31/46,3,811,3
40201,1,1,1,0,,,,,,0,3,201,402,1951,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,8/31/46,3,8/31/46,3,811,3
40201,1,1,1,0,,,,,,0,3,201,402,1952,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,8/31/46,3,8/31/46,3,811,3
40201,1,1,1,1,11/9/53,1,1,,3/10/54,0,3,201,402,1953,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,8/31/46,3,8/31/46,3,811,3
40301,1,3,1,0,,,,,,0,3,202,403,1946,China,Government of China,135,,PLA,161,,2,,2,3,12/31/46,7,12/31/46,7,710,3
40301,1,3,1,0,,,,,,0,3,202,403,1947,China,Government of China,135,,PLA,161,,2,,2,3,12/31/46,7,12/31/46,7,710,3
40301,1,3,1,0,,,,,,0,3,202,403,1948,China,Government of China,135,,PLA,161,,2,,2,3,12/31/46,7,12/31/46,7,710,3
40301,1,3,1,1,12/8/49,1,4,,,0,3,202,403,1949,China,Government of China,135,,PLA,161,,2,,2,3,12/31/46,7,12/31/46,7,710,3
40401,1,3,1,0,,,,,,0,3,203,404,1946,Greece,Government of Greece,52,,DSE,162,,2,,2,3,3/31/46,4,3/31/46,4,350,1
40401,1,3,1,0,,,,,,0,3,203,404,1947,Greece,Government of Greece,52,,DSE,162,,2,,2,3,3/31/46,4,3/31/46,4,350,1
40401,1,3,1,0,,,,,,0,3,203,404,1948,Greece,Government of Greece,52,,DSE,162,,2,,2,3,3/31/46,4,3/31/46,4,350,1
40401,1,3,1,1,10/16/49,1,3,10/16/49,,0,3,203,404,1949,Greece,Government of Greece,52,,DSE,162,,2,,2,3,3/31/46,4,3/31/46,4,350,1
40501,1,1,1,0,,,,,,0,3,204,405,1946,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1,Indonesia,1,1,10/13/45,2,12/31/46,5,850,3
40501,1,1,1,0,,,,,,0,3,204,405,1947,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1,Indonesia,1,1,10/13/45,2,12/31/46,5,850,3
40501,1,1,1,0,,,,,,0,3,204,405,1948,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1,Indonesia,1,1,10/13/45,2,12/31/46,5,850,3
40501,1,1,1,1,8/15/49,1,1,,11/2/49,0,3,204,405,1949,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1,Indonesia,1,1,10/13/45,2,12/31/46,5,850,3
40601,1,3,1,1,12/16/46,1,3,,,0,3,205,406,1946,Iran,Government of Iran,114,,KDPI,164,Government of Russia (Soviet Union),1,Kurdistan,1,4,5/31/46,3,5/31/46,3,630,2
